OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,crypto
2018-05-09 03:00:00,0.78411,0.78731,0.76827,0.774,1284272.25,996644.0163996001,2548,586318.37,454913.49171780003,XRPUSDT
2018-05-09 04:00:00,0.774,0.774,0.7569,0.7701,1146296.99,876006.2946454,2459,536791.18,410301.7020926,XRPUSDT
2018-05-09 05:00:00,0.77113,0.77113,0.76001,0.76946,464972.41,356626.6347224,1011,203040.51,155831.5825575,XRPUSDT
2018-05-09 06:00:00,0.76946,0.7768,0.76769,0.77598,535873.16,414461.2839197,1038,257923.03,199527.555589,XRPUSDT
2018-05-09 07:00:00,0.77598,0.77598,0.764,0.76662,582746.77,449730.0667841,757,309485.43,238988.494576,XRPUSDT
2018-05-09 08:00:00,0.7666,0.778,0.7613,0.7744,776518.76,598389.8755465,1145,466244.95999999996,359361.667586,XRPUSDT
2018-05-09 09:00:00,0.7744,0.78482,0.77182,0.78482,613131.58,476843.9674608,1083,334740.57999999996,260709.52267600002,XRPUSDT
2018-05-09 10:00:00,0.782,0.7971,0.77183,0.7955,639923.04,502756.2576867,1357,391833.72,308402.93822929997,XRPUSDT
2018-05-09 11:00:00,0.79504,0.80263,0.79,0.79683,897057.12,714453.6232136,1468,421637.58999999997,336029.8831002,XRPUSDT
2018-05-09 12:00:00,0.79683,0.80692,0.79683,0.8011,901863.01,723563.4867767,1371,377061.86,302505.7707326,XRPUSDT
2018-05-09 13:00:00,0.8011,0.8035,0.7871,0.795,642251.24,511405.6868117,1082,296541.55,236421.3187824,XRPUSDT
2018-05-09 14:00:00,0.79413,0.7985,0.7902,0.79802,340678.5,270743.7035564,685,182133.69,144741.1269413,XRPUSDT
2018-05-09 15:00:00,0.7982,0.80464,0.796,0.8,385602.89,308939.7710456,876,205241.51,164451.50347660002,XRPUSDT
2018-05-09 16:00:00,0.79999,0.81242,0.79771,0.81049,464763.57999999996,374197.9783257,1121,283379.34,228069.2823245,XRPUSDT
2018-05-09 17:00:00,0.8105,0.81894,0.802,0.80423,677178.75,549796.7915265,1490,248374.82,201822.8911955,XRPUSDT
2018-05-09 18:00:00,0.80284,0.80683,0.79865,0.79865,299911.01,240853.1632329,875,152259.32,122388.6803471,XRPUSDT
2018-05-09 19:00:00,0.79999,0.806,0.79531,0.80253,351084.0,281042.0479996,881,132622.84,106303.1773218,XRPUSDT
2018-05-09 20:00:00,0.80255,0.80495,0.79601,0.7989,225066.47999999998,180497.4888364,449,106325.68,85256.6205967,XRPUSDT
2018-05-09 21:00:00,0.79635,0.79878,0.792,0.7945,282800.94,224647.3184232,745,193868.93,154021.7408237,XRPUSDT
2018-05-09 22:00:00,0.7933,0.80289,0.792,0.7996,389937.48,311540.8828265,716,194365.62,155498.2782835,XRPUSDT
2018-05-09 23:00:00,0.7996,0.7996,0.79196,0.79481,298404.89,236944.7265928,649,130967.57,104019.3197777,XRPUSDT
2018-05-10 00:00:00,0.79481,0.803,0.79481,0.79594,242490.6,193745.1799251,646,125627.31999999999,100428.7093346,XRPUSDT
2018-05-10 01:00:00,0.79594,0.80198,0.79586,0.79586,314101.46,250859.5316315,769,94395.54,75496.0825297,XRPUSDT
2018-05-10 02:00:00,0.79651,0.79852,0.7904,0.79652,235959.27000000002,187446.8613762,685,88428.63,70288.00994429999,XRPUSDT
2018-05-10 03:00:00,0.79652,0.8021,0.79035,0.7962,350803.85000000003,278791.4119324,572,148244.21,118076.3986594,XRPUSDT
